AL,Alabama,0
AK,Alaska,0
AZ,Arizona,6
AR,Arkansas,107
CA,California,1
CO,Colorado,0
CT,Connecticut,0
DE,Delaware,0
FL,Florida,0
GA,Georgia,3134
HI,Hawaii,0
ID,Idaho,0
IL,Illinois,0
IN,Indiana,0
IA,Iowa,0
KS,Kansas,0
KY,Kentucky,0
LA,Louisiana,190
ME,Maine,0
MD,Maryland,0
MA,Massachusetts,0
MI,Michigan,0
MN,Minnesota,0
MS,Mississippi,0
MO,Missouri,0
MT,Montana,0
NE,Nebraska,0
NV,Nevada,0
NH,New Hampshire,0
NJ,New Jersey,0
NM,New Mexico,53
NY,New York,0
NC,North Carolina,0
ND,North Dakota,0
OH,Ohio,51297
OK,Oklahoma,493
OR,Oregon,0
PA,Pennsylvania,0
RI,Rhode Island,0
SC,South Carolina,0
SD,South Dakota,0
TN,Tennessee,0
TX,Texas,537
UT,Utah,0
VT,Vermont,0
VA,Virginia,0
WA,Washington,0
WV,West Virginia,0
WI,Wisconsin,8855
WY,Wyoming,0
AS,All States,64673
