48001,0
48003,5
48005,1
48007,8
48009,4
48011,1
48013,1
48015,1
48017,1
48019,0
48021,0
48023,0
48025,0
48027,0
48029,1
48031,1
48033,6
48035,1
48037,1
48039,4
48041,1
48043,1
48045,1
48047,1
48049,1
48051,0
48053,1
48055,1
48057,4
48059,0
48061,1
48063,1
48065,4
48067,4
48069,0
48071,1
48073,0
48075,3
48077,1
48079,1
48081,0
48083,0
48085,1
48087,0
48089,1
48091,0
48093,0
48095,0
48097,0
48099,1
48101,0
48103,2
48105,8
48107,1
48109,23
48111,0
48113,1
48115,4
48117,1
48119,8
48121,6
48123,1
48125,1
48127,1
48129,2
48131,3
48133,0
48135,0
48137,0
48139,0
48141,0
48143,0
48145,0
48147,0
48149,
48151,6
48153,5
48155,
48157,
48159,3
48161,
48163,4
48165,
48167,5
48169,
48171,5
48173,
48175,6
48177,
48179,7
48181,7
48183,
48185,5
48187,
48189,6
48191,3
48193,
48195,3
48197,4
48199,5
48201,40
48203,3
48205,0
48207,0
48209,0
48211,4
48213,7
48215,3
48217,7
48219,5
48221,6
48223,1
48225,0
48227,5
48229,2
48231,3
48233,4
48235,0
48237,4
48239,2
48241,2
48243,4
48245,5
48247,6
48249,6
48251,6
48253,4
48255,3
48257,2
48259,0
48261,0
48263,0
48265,0
48267,0
48269,0
48271,1
48273,0
48275,0
48277,2
48279,
48281,3
48283,
48285,4
48287,
48289,
48291,2
48293,3
48295,
48297,4
48299,
48301,5
48303,
48305,0
48307,0
48309,
48311,6
48313,
48315,4
48317,
48319,3
48321,
48323,3
48325,4
48327,4
48329,4
48331,4
48333,
48335,2
48337,
48339,0
48341,0
48343,0
48345,0
48347,0
48349,0
48351,0
48353,2
48355,2
48357,2
48359,4
48361,
48363,2
48365,1
48367,0
48369,4
48371,1
48373,2
48375,
48377,5
48379,
48381,2
48383,1
48385,
48387,3
48389,4
48391,5
48393,6
48395,6
48397,6
48399,3
48401,2
48403,2
48405,4
48407,5
48409,7
48411,5
48413,4
48415,3
48417,3
48419,6
48421,2
48423,1
48425,1
48427,1
48429,
48431,0
48433,
48435,8
48437,
48439,6
48441,
48443,3
48445,
48447,0
48449,3
48451,
48453,2
48455,
48457,2
48459,
48461,4
48463,
48465,6
48467,
48469,0
48471,
48473,0
48475,
48477,0
48479,
48481,0
48483,
48485,0
48487,
48489,0
48491,0
48493,
48495,0
48497,0
48499,0
48501,0
48503,0
48505,2
48507,1
