22001,15
22003,5
22005,1
22007,8
22009,4
22011,1
22013,1
22015,1
22017,1
22019,6
22021,8
22023,1
22025,1
22027,7
22029,1
22031,1
22033,6
22035,1
22037,1
22039,4
22041,1
22043,1
22045,1
22047,1
22049,1
22051,0
22053,1
22055,1
22057,4
22059,0
22061,1
22063,1
22065,4
22067,4
22069,0
22071,1
22073,9
22075,3
22077,1
22079,1
22081,0
22083,0
22085,1
22087,0
22089,1
22091,6
22093,1
22095,9
22097,4
22099,1
22101,0
22103,2
22105,8
22107,1
22109,23
22111,1
22113,1
22115,4
22117,1
22119,8
22121,6
22123,1
22125,1
22127,1
