22001,15,Acadia
22003,5,Allen
22005,1,Ascension
22007,8,Assumption
22009,4,Avoyelles
22011,1,Beauregard
22013,1,Bienville
22015,1,Bossier
22017,1,Caddo
22019,6,Calcasieu
22021,8,Caldwell
22023,1,Cameron
22025,1,Catahoula
22027,7,Claiborne
22029,1,Concordia
22031,1,De Soto
22033,6,East Baton Rouge
22035,1,East Carroll
22037,1,East Feliciana
22039,4,Evangeline
22041,1,Franklin
22043,1,Grant
22045,1,Iberia
22047,1,Iberville
22049,1,Jackson
22051,0,Jefferson
22053,1,Jefferson Davis
22055,1,Lafayette
22057,4,Lafourche
22059,0,La Salle
22061,1,Lincoln
22063,1,Livingston
22065,4,Madison
22067,4,Morehouse
22069,0,Natchitoches
22071,1,Orleans
22073,9,Ouachita
22075,3,Plaquemines
22077,1,Pointe Coupee
22079,1,Rapides
22081,0,Red River
22083,0,Richland
22085,1,Sabine
22087,0,St. Bernard
22089,1,St. Charles
22091,6,St. Helena
22093,1,St. James
22095,9,St. John the Baptist
22097,4,St. Landry
22099,1,St. Martin
22101,0,St. Mary
22103,2,St. Tammany
22105,8,Tangipahoa
22107,1,Tensas
22109,23,Terrebonne
22111,1,Union
22113,1,Vermilion
22115,4,Vernon
22117,1,Washington
22119,8,Webster
22121,6,West Baton Rouge
22123,1,West Carroll
22125,1,West Feliciana
22127,1,Winn
